sequence,millisecond,index,middle,ring,little
154,2402,3.51,8.29,5.69,2.39
155,2418,3.48,8.27,5.7,2.41
156,2433,3.45,8.26,5.71,2.41
157,2448,3.44,8.27,5.72,2.42
158,2464,3.43,8.28,5.76,2.44
159,2480,3.41,8.26,5.8,2.47
160,2495,3.37,8.23,5.81,2.47
161,2510,3.34,8.2,5.8,2.46
162,2526,3.3,8.18,5.8,2.45
163,2542,3.27,8.15,5.8,2.44
164,2557,3.21,8.12,5.8,2.44
165,2573,3.17,8.1,5.77,2.43
166,2588,3.15,8.09,5.75,2.41
167,2603,3.13,8.08,5.73,2.4
168,2619,3.11,8.09,5.74,2.39
169,2635,3.1,8.1,5.76,2.38
170,2651,3.09,8.11,5.79,2.37
171,2666,3.05,8.11,5.8,2.37
172,2681,3.01,8.11,5.81,2.37
173,2697,2.99,8.13,5.83,2.37
174,2712,3.01,8.19,5.86,2.37
175,2728,3.02,8.19,5.84,2.37
176,2743,3.02,8.2,5.82,2.37
177,2758,3.02,8.23,5.82,2.36
178,2774,3.03,8.29,5.84,2.36
179,2790,3.03,8.33,5.84,2.35
180,2806,3.02,8.32,5.78,2.34
181,2821,3.01,8.3,5.75,2.33
182,2836,2.99,8.32,5.74,2.32
183,2852,2.98,8.35,5.76,2.32
184,2868,2.96,8.37,5.76,2.32
185,2883,2.96,8.39,5.73,2.3
186,2899,2.96,8.4,5.69,2.28
187,2914,2.96,8.41,5.67,2.26
188,2929,2.95,8.43,5.65,2.24
189,2946,2.94,8.44,5.62,2.22
190,2961,2.92,8.42,5.58,2.21
191,2977,2.91,8.39,5.54,2.2
192,2992,2.89,8.38,5.51,2.19
193,3007,2.88,8.37,5.49,2.18
194,3023,2.84,8.36,5.48,2.17
195,3039,2.82,8.32,5.46,2.16
196,3054,2.8,8.29,5.47,2.16
197,3070,2.8,8.31,5.5,2.17
198,3085,2.81,8.36,5.53,2.17
199,3100,2.81,8.39,5.54,2.18
200,3117,2.8,8.39,5.51,2.17
201,3132,2.8,8.39,5.5,2.16
202,3148,2.79,8.4,5.49,2.15
203,3163,2.79,8.41,5.48,2.13
204,3179,2.78,8.43,5.42,2.08
205,3195,2.76,8.45,5.39,2.06
206,3210,2.75,8.47,5.36,2.03
207,3226,2.75,8.53,5.32,1.99
208,3241,2.75,8.6,5.29,1.92
209,3256,2.77,8.66,5.25,1.87
210,3273,2.8,8.72,5.2,1.82
211,3288,2.87,8.76,5.17,1.79
212,3304,2.92,8.78,5.16,1.77
213,3319,2.96,8.79,5.16,1.76
214,3334,2.99,8.78,5.16,1.76
215,3350,3.05,8.77,5.16,1.75
216,3366,3.08,8.76,5.17,1.75
217,3381,3.11,8.76,5.2,1.76
218,3397,3.15,8.77,5.23,1.77
219,3412,3.18,8.79,5.27,1.77
220,3427,3.21,8.79,5.28,1.77
221,3444,3.22,8.79,5.27,1.76
222,3459,3.21,8.8,5.27,1.75
223,3475,3.2,8.81,5.28,1.74
224,3490,3.2,8.84,5.29,1.73
225,3505,3.21,8.86,5.29,1.71
226,3521,3.21,8.87,5.28,1.7
227,3537,3.21,8.85,5.26,1.69
228,3552,3.21,8.84,5.25,1.67
229,3568,3.23,8.84,5.25,1.66
230,3583,3.25,8.82,5.25,1.66
231,3598,3.25,8.79,5.25,1.66
232,3615,3.26,8.78,5.26,1.66
233,3630,3.28,8.8,5.28,1.66
234,3645,3.32,8.87,5.34,1.67
235,3660,3.35,8.9,5.35,1.67
236,3677,3.38,8.91,5.35,1.67
237,3692,3.4,8.91,5.35,1.68
238,3707,3.42,8.91,5.35,1.68
239,3722,3.43,8.93,5.39,1.69
240,3737,3.44,8.96,5.42,1.69
241,3753,3.44,8.98,5.44,1.7
242,3769,3.45,9.02,5.45,1.71
243,3784,3.46,9.05,5.47,1.71
244,3800,3.47,9.09,5.5,1.72
245,3815,3.47,9.13,5.53,1.73
246,3831,3.48,9.17,5.54,1.73
247,3847,3.48,9.18,5.52,1.73
248,3862,3.46,9.16,5.5,1.73
249,3877,3.44,9.15,5.48,1.72
250,3893,3.42,9.13,5.46,1.72
251,3909,3.39,9.11,5.42,1.71
252,3924,3.36,9.06,5.38,1.7
253,3940,3.32,9.02,5.36,1.69
254,3955,3.3,9.01,5.35,1.69
255,3971,3.28,9.01,5.36,1.69
256,3986,3.27,9.01,5.36,1.69
257,4001,3.25,9.0,5.36,1.69
258,4017,3.24,9.0,5.35,1.69
259,4032,3.23,9.02,5.34,1.68
260,4047,3.24,9.03,5.33,1.68
261,4064,3.23,9.03,5.32,1.68
262,4079,3.22,8.99,5.3,1.68
263,4094,3.2,8.96,5.26,1.68
264,4109,3.13,8.94,5.25,1.67
265,4126,3.11,8.95,5.27,1.67
266,4141,3.08,8.95,5.27,1.67
267,4156,3.05,8.94,5.26,1.67
268,4172,3.03,8.92,5.26,1.67
269,4187,3.0,8.92,5.26,1.67
270,4203,2.95,8.92,5.27,1.67
271,4218,2.9,8.92,5.27,1.68
272,4233,2.84,8.9,5.26,1.68
273,4248,2.77,8.9,5.25,1.68
274,4264,2.72,8.89,5.24,1.68
275,4280,2.66,8.81,5.17,1.68
276,4296,2.58,8.65,5.03,1.68
277,4311,2.33,8.34,4.77,1.66
278,4326,2.03,7.17,4.31,1.6
279,4342,1.47,4.7,2.37,1.33
280,4357,1.35,3.27,1.73,1.09
281,4373,1.14,2.23,1.21,0.89
282,4388,0.84,1.52,0.68,0.73
283,4403,0.47,0.89,0.36,0.52
284,4420,0.23,0.47,0.17,0.36
285,4435,0.0,0.25,0.0,0.26
286,4451,0.0,0.0,0.0,0.19
287,4466,0.0,0.0,0.0,0.0
288,4481,0.0,0.0,0.0,0.0
289,4497,0.0,0.0,0.0,0.0
290,4512,0.0,0.0,0.0,0.0
291,4527,0.0,0.0,0.0,0.0
292,4543,0.0,0.0,0.0,0.0
293,4558,0.0,0.0,0.0,0.0
294,4574,0.0,0.0,0.0,0.0
295,4590,0.0,0.0,0.0,0.0
296,4606,0.0,0.0,0.0,0.0
297,4621,0.0,0.0,0.0,0.0
298,4636,0.0,0.0,0.0,0.0
299,4652,0.0,0.0,0.0,0.0
300,4667,0.0,0.0,0.0,0.0
301,4682,0.0,0.0,0.0,0.0
302,4699,0.0,0.0,0.0,0.0
303,4714,0.0,0.0,0.0,0.0
304,4729,0.0,0.0,0.0,0.0
305,4745,0.0,0.0,0.0,0.0
306,4760,0.0,0.0,0.0,0.0
307,4776,0.0,0.0,0.0,0.0
